🕘️更新时间,#genre#
深圳卫视,http://111.221.137.155:44330/tsfile/live/1013_1.m3u8?key=txiptv$订阅源
深圳卫视,http://60.13.52.236:65500/newlive/live/hls/24/live.m3u8$订阅源
深圳卫视,http://61.136.172.236:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&authid=0$订阅源

📡港澳台,#genre#
TVB_PULS,http://iptv.4666888.xyz/iptv2A.php?id=64$订阅源
HOY77,http://beishan008.asuscomm.com:8891/bysid/77.m3u8$订阅源
HOY77,http://bziyunshao.synology.me:8891/bysid/77$订阅源
明珠台,http://iptv.4666888.xyz/iptv2A.php?id=29$订阅源
凤凰中文,https://cdn.iptv8k.top/dl/jrys.php?id=19&time=20240926215313&ip=111.229.253.40$订阅源
凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G_audio.m3u8$订阅源
凤凰香港,https://cdn.iptv8k.top/dl/jrys.php?id=18&time=20240926215313&ip=111.229.253.40$订阅源
无线赛马,http://iptv.4666888.xyz/iptv.php?id=20125$订阅源
有线赛马,http://iptv.4666888.xyz/iptv.php?id=20124$订阅源
